№№ название тара расположение количество ценa
1 Алиссум ка23 тр 1000 500 0
2 Бакопа ка23 т1 100 500 0
3 Бегония ка23 тр 200 750 
4 Бегония_дабл ка26 тр 300 800 0
5 Биденс ка19 т2 200 350 0
6 Будра ка23 т1 500 450 0
7 Вербена ка23 т2 200 500 0
8 Герань ка23 т1 200 650 10
8 Герань_зональная ка23 т1 200 650 0
9 Герань_зональная ка19 т1 200 400 0
10 Герань_ампельная ка26 т1 500 800 0
11 Герань_плющелистная ка26 т1 300 800 0
12 Дихондра ка23 т1 100 400 0
13 Портулак ка19 т2 200 400 0
14 Сурфиния ка23 т2 500 550 0
15 Сурфиния ка19 т2 200 450 0
16 Фуксия ка23 т1 200 600 0
17 Бегония_вечноцветущая я40 т1 10 500 0
18 Герань_ампельная я40 т1 10 500 0
19 Герань_ампельная я60 т1 10 700 0
20 Агератум к54 т2 1000 40 0 однол.
21 Алиссум с8 т2 1000 35 0 однол.
22 Алиссум_ампельный с9 т2 200 80 0 однол.
23 Амарант_трёхцветный с9 т2 100 35 0 однол.
24 Аргирантемум с9 т1 1000 100 0 однол.
25 Астра к6,54 т2 1000 35 0 однол.
26 Бакопа с9 т1 500 80 10 однол.
27 Бальзамин_новогвин с9 т1 100 100 0 однол.
28 Бархатцы к6,54 т2 5000 30 0 однол.
29 Бегония_ампельная с9 т2 100 200 0 однол.
30 Бегония_Биг с9 т1 200 100 0 однол.
31 Белигония с9 тр 200 200 0 однол.
32 Бегония_вечноцветущая с9 т1 2000 60 0 однол.
33 Бегония_Дабл с9 т1 200 150 0 однол.
34 Биденс с9 т2 500 60 0 однол.
35 Бракихома с9 т2 200 100 0 однол.
36 Будра с9 т1 100 50 0 однол.
37 Вербена_ампельная с9 т2 300 80 0 однол.
38 Вербена_кустовая с9 т2 3000 50 0 однол.
39 Виола с9 т2 3000 25 0 однол.
40 Вьюнок с9 т2 1000 80 0 однол.
41 Гацания с9 тр 1600 80 0 однол.
42 Гвоздика_горшечная с9 т2 200 100 0 однол.
43 Гелихризум с9 т1 500 100 0 однол.
44 Гелихризум_мелколист с9 т1 100 100 0 однол.
45 Георгины_весёлые_реб с9 т2 500 30 0 однол.
46 Георгины_Фигаро с9 т2 200 60 0 однол.
47 Герань_ампельная с9 т1 2000 150 0 однол.
48 Герань_зональная с9 т1 2000 150 0 однол.
49 Герань_королевская г1 т1 200 250 0 однол.
50 Герань_зональная_Роз с9 т1 100 160 0 однол.
51 Диасцея с9 т2 100 90 0 однол.
52 Дихондра с9 т1 100 75 0 однол.
53 Дурман с9 т2 200 35 0 однол.
54 Душистый_горошек с9 т2 200 25 0 однол.
55 Душистый_табак к4 т2 300 100 0 однол.
56 Зайцехвост к6 т2 200 100 0 однол.
57 Ипомея_батат с9 т2 100 120 0 однол.
58 Ипомея_вьюнок с9 т2 200 25 0 однол.
59 Календула с9 т2 200 40 0 однол.
60 Калибрахоа с9 т2 200 80 0 однол.
61 Капуста_декор к6,54 т2 300 25 0 однол.
62 Кобея с9 т2 300 35 0 однол.
63 Ковыль к6 т2 200 240 0 однол.
64 Колеус с9 т1 500 40 0 однол.
65 Кореопсис с9 т1 200 120 0 однол.
66 Космея с9 т2 100 40 0 однол.
67 Куфея с9 т2 200 100 0 однол.
68 Лаванда с8 т1 200 80 0 однол.
69 Левкой-маттиола с9 т2 200 35 0 однол.
70 Лобелия с8 т2 1000 35 0 однол.
71 Львиный_зев с9 т2 1000 50 0 однол.
72 Мальва с9 т2 200 50 0 однол.
73 Маргаритка г1 т2 200 100 0 однол.
74 Мекардония с9 т2 200 120 0 однол.
75 Мимулюс с9 т2 200 100 0 однол.
76 Мирабилис с9 т2 300 35 0 однол.
77 Молодило с9 т1 500 150 0 однол.
78 Настурция с9 т2 500 30 0 однол. 
79 Незабудка г1 т2 500 150 0 однол.
80 Намезия с9 т2 500 80 0 однол.
81 Остеоспермум с9 т2 500 100 0 однол.
82 Портулак с9 т2 500 70 0 однол.
83 Петуния с9 т2 3000 30 0 однол.
84 Платикадон с9 т2 250 80 0 однол.
85 Плектрантус с9 т1 200 80 0 однол.
86 Подсолнух_декор с9 т2 200 40 0 однол.
87 Плющ с9 т1 300 100 0 однол.
88 Сальвия к54 т2 500 35 0 однол.
89 Санвиталия с9 т2 300 100 0 однол.
90 Седум_очиток с9 т1 300 150 0 однол.
